"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Secure Identifier Management Based on Blockchain Technology in NDN Environment","H. -K. Yang; H. -J. Cha; Y. -J. Song","Division of Information Technology Education, Sun Moon University, Asan, South Korea; Division of Information Technology Education, Sun Moon University, Asan, South Korea; Department of Management, Dongguk University, Gyeongju, South Korea","IEEE Access","25 Jan 2019","2019","7","","6262","6268","With the recent increase in the number of IoT devices and the development of centralized management systems, risks in cyber space, including personal information phishing, malicious code infection, hacking, and DDos attack, are becoming major issues in the real world. The recently developed distributed data management technology, blockchain, provides reliability in transactions without the intervention of a third party. This new technology, blockchain, promotes integrity and reliability of transaction records by allowing for all network participants to jointly own and verify data, which was previously done by a central server. Due to distributed data management, the technology can reduce brokerage fees and construction costs, and guarantees high levels of integrity and security of data. This paper examines the effective identifier management using blockchain technology under the named data networking environment. The proposed system does not expose a specific user's identifier by creating a transaction using the content name of the identifier. The identifier can be safely stored and managed through such an identifier split management technique.","2169-3536","","10.1109/ACCESS.2018.2885037","National Research Foundation of Korea; Ministry of Education(grant numbers:2016R1D1A1B03931689); Dongguk University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8558484","Named data networking;fog computing;blockchain;identifier management;proxy server;attribute based","Blockchain;Servers;Edge computing;Encryption;Computer crime;Reliability","computer network reliability;computer network security;data privacy;Internet;Internet of Things","secure identifier management;blockchain technology;NDN environment;IoT devices;centralized management systems;cyber space;personal information phishing;malicious code infection;DDos attack;central server;construction costs;effective identifier management;named data networking environment;identifier split management technique;distributed data management technology;hacking;transaction record reliability;security of data;data integrity;content name","","27","","23","OAPA","4 Dec 2018","","","IEEE","IEEE Journals"
"Legal Considerations of IoT Applications in Fog and Cloud Environments","R. Garg; S. Varadi; A. Kertesz","School of Information Studies, Syracuse University, Syracuse, USA; Interdisciplinary Excellence Centre, University of Szeged, Szeged, Hungary; Interdisciplinary Excellence Centre, University of Szeged, Szeged, Hungary","2019 27th Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP)","21 Mar 2019","2019","","","193","198","The Internet of Things is the latest paradigm that encompasses the potential of connecting a physical object to the Internet, and then utilizes cloud services to collect, store and process data generated by these connected devices. In order to reduce the service latency of computations, processes, and storage at further situated Cloud nodes, the Fog paradigm was born, which brings data management closer to the end user or to the edge of the network of a provider. Fog nodes can not only be geographically distributed, but also more dynamic in nature than cloud nodes, therefore it is even more difficult to ensure data protection. The operation of such complex systems, thus, raises legal issues such as who owns or processes the data, who is liable in terms of a possible security breach. In this paper we aim to discuss the latest advances of corresponding legislation in the European Union and in the United States of America that affect these technology developments. First, we investigate IoT and Fog characteristics and identify different use cases of loT-Fog-Cloud environments that will be then used to discuss possible legal issues. We conclude the paper with role mappings for the identified cases, and by proposing recommendations on how to govern data management in these complex systems to ensure data protection as mandated by current legislations across these two regions. Our investigations imply that as we broaden the scope and complexity of the managed systems, the user control of the sensed private data weakens, and the responsibility of data protection are shifting towards fog, cloud and service providers.","2377-5750","978-1-7281-1644-0","10.1109/EMPDP.2019.8671620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671620","Internet of Things;Fog Computing;Cloud Computing;Data Protection;GDPR;U.S. privacy Rules","Cloud computing;Law;Internet of Things;Security;Data protection;Edge computing","cloud computing;Internet;Internet of Things;legislation","data management;end user;fog nodes;fog paradigm;loT-fog-cloud environments;situated Cloud nodes;connected devices;process data;cloud services;physical object;IoT applications;legal considerations;sensed private data weakens;managed systems;possible legal issues;possible security breach;complex systems;data protection","","2","","13","IEEE","21 Mar 2019","","","IEEE","IEEE Conferences"
"A Survey on IOT enabled cloud platforms","R. Sikarwar; P. Yadav; A. Dubey","Deptt. CSE, CDGI, Indore; Deptt. CSE, ITM GOI Gwalior; Deptt CSE, MANIT Bhopal","2020 IEEE 9th International Conference on Communication Systems and Network Technologies (CSNT)","12 Jun 2020","2020","","","120","124","IOT is a mainstream technology of today’s technology world and has transformed recently with a significant potential for modernizing the lifestyle of modern societies today. Since the term IOT was devised in the year 1999 by Kevin Ashton there is a tremendous increase in the countable devices bridged to the internet in the last few decades. This paper provides a literature survey on various cloud services used in integration with IOT and a study about fog computing used in various application areas. Due to seamless data exchange between IOT devices and sensors, there was a need of platforms for data management, storage, and analysis. Thus cloud computing and fog computing are often used interchangeably for providing high storage capacities and processing capabilities. Different types of IOT based cloud platforms are discussed in this paper depending on their applicability along with their pros and cons precisely.","2329-7182","978-1-7281-4976-9","10.1109/CSNT48778.2020.9115735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9115735","IOT;Cloud platforms;fog versus cloud","","cloud computing;electronic data interchange;Internet of Things","cloud services;fog computing;seamless data exchange;cloud computing;IOT based cloud platforms","","11","","22","IEEE","12 Jun 2020","","","IEEE","IEEE Conferences"
"Secure Fog-Assisted Crowdsensing With Collusion Resistance: From Data Reporting to Data Requesting","L. Zhu; M. Li; Z. Zhang","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China","IEEE Internet of Things Journal","18 Jun 2019","2019","6","3","5473","5484","The development and ubiquity of smart mobile devices have produced the idea of crowdsensing, where people report and request data in a community via a cloud server. Recently, fog is introduced to assist the cloud server by providing location-sensitive and latency-aware local data management. However, interaction between users and server without appropriate sanitation puts serious security threats to user' privacy (e.g., data content and preference). While existing work already has a wide range of privacy-preserving schemes, they hardly consider collusion attacks (CAs) between the server and users, let alone CAs between fog nodes and users. To solve this problem, we first define four specific CAs in fog-assisted crowdsensing and propose a novel privacy-preserving data reporting and requesting (PARE) scheme with collusion resistance. PARE is constructed by leveraging one-way hash chains, marked mix-nets, and grouping-based secure searchable encryption to securely collect users' reports and respond to users' requests under CAs. Then, we consider one extreme scenario and provide a solution by introducing a role of sentry reporter while reducing computational costs and communication overhead. Thorough security and privacy analysis shows that PARE is secure and collusion resistant and we also quantitatively measure privacy with mutual information. Extensive performance evaluation results indicate that PARE is lightweight with respect to computational cost and communication overhead. To the best of our knowledge, this paper is the first one that gives four formal definitions of CAs in fog-assisted crowdsensing and aim to defend them at the same time.","2327-4662","","10.1109/JIOT.2019.2902459","China National Key Research and Development Program(grant numbers:2016YFB0800301); National Natural Science Foundation of China(grant numbers:61872041,61871037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8656533","Collusion attacks (CAs);crowdsensing;fog computing;mix-net;secure searchable encryption","Servers;Cloud computing;Privacy;Cryptography;Internet of Things;Data privacy","cloud computing;cryptography;data privacy;mobile computing;sensor fusion","collusion resistance;smart mobile devices;cloud server;location-sensitive;latency-aware local data management;serious security threats;user privacy;privacy-preserving schemes;collusion attacks;fog nodes;grouping-based secure searchable encryption;sentry reporter;computational cost;privacy analysis;PARE scheme;secure fog-assisted crowdsensing;privacy-preserving data reporting-requesting;one-way hash chains;marked mix-nets;communication overhead","","23","","55","IEEE","1 Mar 2019","","","IEEE","IEEE Journals"
"Edge Computing Technology Enablers: A Systematic Lecture Study","S. Douch; M. R. Abid; K. Zine-Dine; D. Bouzidi; D. Benhaddou","National School of Computer Science and Systems Analysis (ENSIAS), Mohammed V University in Rabat, Rabat, Morocco; TSYS School of Computer Science, Columbus State University, Columbus, GA, USA; Faculty of Sciences (FSR), Mohammed V University in Rabat, Rabat, Morocco; National School of Computer Science and Systems Analysis (ENSIAS), Mohammed V University in Rabat, Rabat, Morocco; Department of Engineering Technology, University of Houston, Houston, TX, USA","IEEE Access","13 Jul 2022","2022","10","","69264","69302","With the increasing stringent QoS constraints (e.g., latency, bandwidth, jitter) imposed by novel applications (e.g., e-Health, autonomous vehicles, smart cities, etc.), as well as the rapidly increasing number of connected IoT (Internet of Things) devices, the core network is becoming increasingly congested. To cope with those constraints, Edge Computing (EC) is emerging as an innovative computing paradigm that leverages Cloud computing and brings it closer to the customer. “EC” refers to transferring computing power and intelligence from the central Cloud to the network’s Edge. With that, EC promotes the idea of processing and caching data at the Edge, thus reducing network congestion and latency. This paper presents a detailed, thorough, and well-structured assessment of Edge Computing and its enabling technologies. Initially, we start by defining EC from the ground up, outlining its architectures and evolution from Cloudlets to Multi-Access Edge Computing. Next, we survey recent studies on the main cornerstones of an EC system, including resource management, computation offloading, data management, network management, etc. Besides, we emphasized EC technology enablers, starting with Edge Intelligence, the branch of Artificial Intelligence (AI) that integrates AI models at resource-constrained edge nodes with significant heterogeneity and mobility. Then, moving on to 5G and its empowering technologies, we explored how EC and 5G complement each other. After that, we studied virtualization and containerization as promising hosting runtime for edge applications. Further to that, we delineated a variety of EC use-case scenarios, e.g., smart cities, e-Health, military applications, etc. Finally, we concluded our survey by highlighting the role of EC integration with future concerns regarding green energy and standardization.","2169-3536","","10.1109/ACCESS.2022.3183634","National Academy of Sciences (NAS)/United States AID (USAID) under the PEER Cycle 5 Project(grant numbers:5-398); Towards Smart Microgrid: Renewable Energy Integration Into Smart Buildings; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9797685","Edge computing;cloud computing;fog computing;multi-access edge computing;edge intelligence;5G;containerization","Edge computing;Cloud computing;Quality of service;5G mobile communication;Internet of Things;Terminology","artificial intelligence;cache storage;cloud computing;Internet of Things;mobile computing;quality of service","Edge Computing technology enablers;systematic lecture study;increasing stringent QoS constraints;smart cities;rapidly increasing number;core network;innovative computing paradigm;leverages Cloud computing;computing power;central Cloud;caching data;network congestion;MultiAccess Edge Computing;survey recent studies;computation offloading;data management;network management;EC technology enablers;Edge Intelligence;resource-constrained edge nodes;empowering technologies;edge applications","","5","","373","CCBY","16 Jun 2022","","","IEEE","IEEE Journals"
"Security Embedded Offloading Requirements for IoT-Fog Paradigm","S. U. Jamil; M. A. Khan; M. Ali","School of Computing and Mathematics, Charles Sturt University, Australia; School of Computing and Mathematics, Charles Sturt University, Australia; School of Information Technology, Deakin University, Australia","2019 IEEE Microwave Theory and Techniques in Wireless Communications (MTTW)","14 Nov 2019","2019","1","","47","51","The paper presents a conceptual framework for security embedded task offloading requirements for IoT-Fog based future communication networks. The focus of the paper is to enumerate the need of embedded security requirements in this IoT-Fog paradigm including the middleware technologies in the overall architecture. Task offloading plays a significant role in the load balancing, energy and data management, security, reducing information processing and propagation latencies. The motivation behind introducing the embedded security is to meet the challenges of future smart networks including two main reasons namely; to improve the data protection and to minimize the internet disturbance and intrusiveness. We further discuss the middleware technologies such as cloudlets, mobile edge computing, micro datacenters, self-healing infrastructures and delay tolerant networks for security provision, optimized energy consumption and to reduce the latency. The paper introduces concepts of system virtualization and parallelism in IoT-Fog based systems and highlight the security features of the system. Some research opportunities and challenges are discussed to improve secure offloading from IoT into fog.","","978-1-7281-4473-3","10.1109/MTTW.2019.8897219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8897219","Internet of Things (IoT);Fog Computing;Edge Computing;Cloud Computing;Task Offloading;Middle-ware","Security;Task analysis;Cloud computing;Edge computing;Computer architecture;Wireless communication;Internet of Things","computer network security;Internet;Internet of Things;middleware;resource allocation","information processing;propagation latencies;future smart networks;data protection;middleware technologies;delay tolerant networks;security provision;IoT-Fog based systems;security embedded offloading requirements;IoT-Fog paradigm;security embedded task offloading requirements;IoT-Fog based future communication networks;embedded security requirements;data management;offloading security","","1","","15","IEEE","14 Nov 2019","","","IEEE","IEEE Conferences"
"Federated Learning toward Data Preprocessing: COVID-19 Context","L. CHAARI FOURATI; S. AYED","Digital Research Center of Sfax (CRNS) Laboratory of Signals, systeMs, aRtificial Intelligence and neTworkS (SM@RTS), Sfax University, TUNISIA; LIST3N-ERA, University of Technology of Troyes, France","2021 IEEE International Conference on Communications Workshops (ICC Workshops)","9 Jul 2021","2021","","","1","6","During this last decade, in the digital era, online and real-time data management becomes essential and primordial in several scenarios. In the health domain, and especially for remote healthcare monitoring systems, the management of data in real time becomes a requirement. Indeed, care providers need to access the vital information and sometimes the processed data in order to take timely the adequate decision. However, many issues arise in the data processing regarding real-time aspect, computational complexity and patient mobility. Therefore, Federated Learning (FL) engages promising technologies such as the fog and the cloud computing as well as machine learning (ML) and deep learning (DL) to address the aforementioned issues. Fog computing enables data preprocessing in proximity of medical users, exploiting patients mobile phones or personal digital assistant (PDA) or small-scale distributed servers. In this paper, we pinpoint the important role of the FL-based system within Internet of Medical Things (IoMT) to combat COVID-19 pandemic. Specifically, we first introduce the architecture highlighting the fog layer within the smart healthcare system. We then discuss the preprocesing tasks that could be implemented at the fog layer with a particular focus on ML and DL tasks. After that, an investigation related to the FL against several COVID-19 contexts is provided. Finally, this paper explores open issues and future directions regarding the FL potentialities in pandemic situation.","2694-2941","978-1-7281-9441-7","10.1109/ICCWorkshops50388.2021.9473590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9473590","Pre-processing;Federated Learning;Deep Learning;Data Compression;Data fusion;Data filtering;Remote Health Care System;RHMS. Fog Layer","COVID-19;Cloud computing;Pandemics;Conferences;Computer architecture;Collaborative work;Real-time systems","cloud computing;data handling;deep learning (artificial intelligence);diseases;epidemics;health care;Internet of Things;medical information systems;mobile computing;notebook computers;patient monitoring;telemedicine","federated learning;data preprocessing;digital era;real-time data management;remote health care monitoring systems;data processing;computational complexity;patient mobility;deep learning;fog computing;medical users;patients mobile phones;small-scale distributed servers;FL-based system;COVID-19 pandemic;fog layer;smart health care system;care providers;cloud computing;machine learning;personal digital assistant;PDA;Internet of Medical Things;IoMT","","7","","32","IEEE","9 Jul 2021","","","IEEE","IEEE Conferences"
"Authentication of IoT in Smart City Applications","O. O. Khalifa; D. F. B. Japar; F. D. A. Rahman; H. Nasir","Department of Electrical and Computer Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Electrical and Computer Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Electrical and Computer Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Malaysian Institute of Information Technology Universiti Kuala Lumpur, Kuala Lumpur, Malaysia","2022 IEEE 8th International Conference on Smart Instrumentation, Measurement and Applications (ICSIMA)","28 Oct 2022","2022","","","58","63","The advancement of technology brings an extensive use of Internet of things (IoT) devices in our daily life. IoT primary used for data collection and provide real-time management information in the network paradigms such as Edge Computing and Fog Computing. However, assuring the reliability of data delivered via Edge Computing is a challenging task. Blockchain has been a technology that has gained traction in recent years. Using Blockchain with IoT allows Smart Cities (SC) applications to spread security information, which protects against Distributed Denial of Service (DDOS) attacks. IoT devices in a SC can have a lengthy life, increasing the possibility of security flaws caused by obsolete firmware. This paper will highlight the significance of the implementation considering the SC and demonstrate a testbed made up of Blockchain Ethereum and actual IoT devices. The effects of transmission time, memory, and CPU use on the sending also processing of these messages were demonstrated. The proposed Application Programming Interface (API) sign, identify, and validate the messages before collecting them for an IoT data management application.","2640-6535","978-1-6654-8800-6","10.1109/ICSIMA55652.2022.9929044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9929044","authentication;internet of things;blockchain;smart city","Tree data structures;Smart cities;Authentication;Decentralized applications;Blockchains;Internet of Things;Security","application program interfaces;blockchains;computer crime;computer network security;Internet of Things;smart cities","security information;Distributed Denial of Service attacks;security flaws;Blockchain Ethereum;IoT devices;transmission time;IoT data management application;smart city applications;Internet of Things devices;data collection;real-time management information;network paradigms;fog computing;edge computing;application programming interface sign;DDOS attacks;obsolete firmware;API sign","","","","21","IEEE","28 Oct 2022","","","IEEE","IEEE Conferences"
"Mobile edge fog, Blockchain Networking and Computing-A survey","R. Salama; F. Al-Turjman; S. Bhatla; D. Mishra","Department of Computer Engineering, AI and Robotics Institute, Research Center for AI and IoT, Near East University Nicosia, Mersin, Turkey; Artificial Intelligence Engineering Dept., AI and Robotics Institute, Near East University, Nicosia, Mersin, Turkey; Department of Computer Science and Engineering, Graphic Era Hill University, Dehradun; ABES Engineering College, Ghaziabad","2023 International Conference on Computational Intelligence, Communication Technology and Networking (CICTN)","7 Jun 2023","2023","","","808","811","Mobile edge computing (MEC) and blockchain technology are two rapidly evolving areas in computer science that have the potential to significantly impact the design and operation of distributed systems. MEC involves the deployment of computing resources and services at the edge of the network, closer to the end users, enabling lowlatency, high-bandwidth applications such as augmented reality and machine learning. Blockchain technology, on the other hand, is a distributed database that allows for secure, transparent, and immutable record-keeping, with potential applications in a wide range of industries. In this project, we explore the integration of MEC and blockchain technology for the management of distributed computing resources at the edge of the network. We review the state of the art in these two areas, including existing projects and prototypes, and describe our materials and method for evaluating their potential for integration. Our results show that the combination of MEC and blockchain has the potential to enable new applications and services that require both low latency and secure, decentralized data management. We conclude by summarizing the main contributions of our work and discussing future directions for research in this area. Our findings have implications for the design and operation of distributed systems, and have the potential to enable new applications and services in a wide range of industries.","","979-8-3503-3802-7","10.1109/CICTN57981.2023.10141348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141348","Mobile edge computing;fog computing;blockchain;distributed systems","Surveys;Multi-access edge computing;Smart cities;Scalability;Transportation;Blockchains;Resource management","augmented reality;blockchains;distributed databases;edge computing;learning (artificial intelligence);mobile computing","augmented reality;blockchain networking;blockchain technology;computer science;computing-a survey;distributed computing resources;distributed database;distributed systems;high-bandwidth applications;immutable record-keeping;machine learning;MEC;mobile edge computing;mobile edge fog;secure record-keeping;transparent, record-keeping","","","","20","IEEE","7 Jun 2023","","","IEEE","IEEE Conferences"
"DeepMist: Toward Deep Learning Assisted Mist Computing Framework for Managing Healthcare Big Data","S. Bebortta; S. S. Tripathy; S. Basheer; C. L. Chowdhary","Department of Computer Science, Ravenshaw University, Cuttack, Odisha, India; Department of Computer Science and Engineering, Dhaneswar Rath Institute of Engineering and Management Studies (DRIEMS), Autonomous College, Cuttack, Odisha, India; Department of Information Systems, College of Computer and Information Science, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia; School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India","IEEE Access","5 May 2023","2023","11","","42485","42496","The prevalence of heart disease has remained a major cause of mortalities across the world and has been challenging for healthcare providers to detect early symptoms of cardiac patients. To this end, several conventional machine learning models have gained popularity in providing precise prediction of heart diseases by taking into account the underlying conditions of patients. The drawbacks associated with these methods are a lack of generalization and the convergence rate of these methods being much slower. As the healthcare data associated with these systems scale up leading to healthcare big data issues, a Cloud-Fog computing-based paradigm is necessary to facilitate low-latency and energy-efficient computation of the healthcare data. In this paper, a DeepMist framework is suggested which exploits Deep Learning models operating over Mist Computing infrastructure to leverage fast predictive convergence, low-latency, and energy efficiency for smart healthcare systems. We exploit the Deep Q Network (DQN) algorithm for building the prediction model for identifying heart diseases over the Mist computing layer. Different performance evaluation metrics, like precision, recall, f-measure, accuracy, energy consumption, and delay, are used to assess the proposed DeepMist framework. It provided an overall prediction accuracy of 97.6714% and loss value of 0.3841, along with energy consumption and delay of 32.1002 mJ and 2.8002 ms respectively. To validate the efficacy of DeepMist, we compare its outcomes over the heart disease dataset in convergence with other benchmark models like Q-Reinforcement Learning (QRL) and Deep Reinforcement Learning (DRL) algorithms and observe that the proposed scheme outperforms all others.","2169-3536","","10.1109/ACCESS.2023.3266374","Princess Nourah bint Abdulrahman University Researchers(grant numbers:PNURSP2023R195); Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10098739","Deep learning;mist computing;heart disease prediction;performance evaluation;latency;energy efficiency","Medical services;Computational modeling;Deep learning;Cloud computing;Data models;Edge computing;Monitoring","Big Data;cardiology;cloud computing;convergence;deep learning (artificial intelligence);diseases;edge computing;energy conservation;energy consumption;health care;medical diagnostic computing;medical information systems;patient diagnosis;power aware computing","cardiac patients;cloud-fog computing;convergence rate;deep learning;deep Q network algorithm;DeepMist;DQN;energy consumption;energy efficiency;energy-efficient computation;f-measure;health care Big Data management;health care providers;heart disease dataset;machine learning;mist computing infrastructure;performance evaluation metrics;prediction accuracy;predictive convergence;smart health care systems;systems scale","","","","46","CCBYNCND","11 Apr 2023","","","IEEE","IEEE Journals"
"Location-aware Task Allocation Strategies for IoT-Fog-Cloud Environments","A. Markus; J. D. Dombi; A. Kertesz","University of Szeged,Department of Software Engineering,Szeged,Hungary; University of Szeged,Department of Software Engineering,Szeged,Hungary; University of Szeged,Department of Software Engineering,Szeged,Hungary","2021 29th Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP)","21 Apr 2021","2021","","","185","192","In the current ICT world, billions of smart devices utilise computational, network and storage resources of complex systems. These devices are composed of various sensors and connected to Internet of Things systems, which are often managed by Fog or Cloud Computing services. Within the fog paradigm, nodes are deployed close to the user devices to reach a higher quality of service, achieved by faster and more reliable communication, compared to the former, cloud-based operations. Though fog models are already implemented in some distributed system simulators, they are far not complete and need further research. In this paper, we present a revision and extension of the DISSECT-CF-Fog simulation environment, which provides a more detailed fog model by enhanced location awareness and multi-layer fog node management to foster IoT application execution. To validate our proposal, we developed different, basic task allocation strategies for IoT-Fog-Cloud environments. We also propose a sophisticated fuzzy-based allocation algorithm using the Pliant system that is able to react to multiple system parameter changes. Finally, we evaluate these strategies for different scenarios in terms of cost, network utilisation, data management and application makespan.","2377-5750","978-1-6654-1455-5","10.1109/PDP52278.2021.00037","Ministry for Innovation and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407134","Fog Computing;Internet of Things;Simulation;Task allocation;Pliant system","Location awareness;Cloud computing;Weather forecasting;Sensor systems;Topology;Resource management;Internet of Things","cloud computing;Internet of Things;mobile computing;resource allocation","distributed system simulators;enhanced location awareness;IoT application execution;task allocation strategies;Pliant system;multiple system parameter changes;location-aware task allocation strategies;storage resources;complex systems;cloud computing services;user devices;cloud-based operations;IoT-fog-cloud environments;fuzzy-based allocation algorithm;dissect-CF-fog simulation environment","","2","","13","IEEE","21 Apr 2021","","","IEEE","IEEE Conferences"
"Guest Editorial Enabling Technologies for Next Generation Telehealthcare","A. Celesti; I. D. Falco; L. Pecchia; G. Sannino","University of Messina, Messina, Italy; ICAR-CNR, Naples, Italy; University of Warwick, Coventry, U.K.; University of Messina, Messina, Italy","IEEE Journal of Biomedical and Health Informatics","6 Dec 2021","2021","25","12","4240","4242","The papers in this special focus on enabling technologies for next generation telehealthcare applications. The use of Information and Communication Technology (ICT) for health and well-being is rapidly increasing in the majority of high-income countries. The interest about telehealthcare allows the provisioning of various kinds of health-related services and applications over the Internet. There are several benefits associated with tele-healthcare, including: the reduction of infection risk due to optimized patients access to clinical centers; optimized healthcare workflows; containment of hospital costs; increased patient safety; improves in the quality of life of both patients and their families. Common telehealthcare applications include tele-nursing, tele-rehabilitation, tele-dialog, tele-monitoring, tele-analysis, tele-pharmacy, tele-care, tele-psychiatry, tele-radiology, tele-pathology, teledermatology, tele-dentistry, tele-audiology, tele-ophthalmology, etc. In the past ten years, key enabling technologies (KETs) such as Internet of Things (IoT), tools for big data management and processing, Cloud/Edge/Fog computing, Artificial Intelligence (AI), Blockchain reached an advanced maturity, and therefore the potential for revolutionizing the whole tele-healthcare sector.","2168-2208","","10.1109/JBHI.2021.3126034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9638392","","Special issues and sections;Robot sensing systems;Medical robotics;Internet of Things;Medical services;Telemedicine;Information and communication technology;Blockchains","","","","","","0","IEEE","6 Dec 2021","","","IEEE","IEEE Journals"
